,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Android Ver
179,3019,4,3.6,-1.2264514872696761,-0.7552805877331381,-0.20770653200332265,0,-0.05912229342647969,1,20,16
180,3118,29,3.0,-0.9466960776630922,-0.7552805877331381,-0.2067710867748932,0,-0.05912229342647969,1,105,14
181,2206,24,3.8,-0.9446083507257296,-0.7552805877331381,-0.2067710867748932,0,-0.05912229342647969,1,79,6
182,4858,21,4.5,-0.020789180942794132,-0.7552805877331381,-0.1974166344905987,0,-0.05912229342647969,4,73,8
183,1524,8,4.1,-1.0813544651229776,-0.7510432497674304,-0.20729077856846512,0,-0.05912229342647969,1,37,7
184,6312,16,4.7,-1.1920039928031938,-0.7510432497674304,-0.20770653200332265,0,-0.05912229342647969,1,63,12
185,4093,24,4.1,0.5528137950975709,-0.7510432497674304,-0.1974166344905987,0,-0.05912229342647969,1,79,5
186,4135,29,3.1,-1.193047856271875,-0.7510432497674304,-0.2067710867748932,0,-0.05912229342647969,1,105,16
187,2570,23,4.1,0.6519808246222928,-0.7510432497674304,-0.1974166344905987,0,-0.05912229342647969,1,78,17
188,1839,25,4.2,0.6431079851385019,-0.7510432497674304,-0.15584129100484534,0,-0.05912229342647969,1,80,14
189,2406,29,4.3,-1.1935697880062157,-0.7510432497674304,-0.20775850118267986,0,-0.05912229342647969,1,105,12
190,7325,4,3.1,-1.220710238191929,-0.7510432497674304,-0.20770653200332265,0,-0.05912229342647969,1,20,2
191,3604,29,4.0,-1.2186225112545663,-0.7510432497674304,-0.20770653200332265,0,-0.05912229342647969,1,105,6
192,7768,29,4.6,-0.45555831564854854,-0.7510432497674304,-0.2067710867748932,0,-0.05912229342647969,1,105,16
193,4465,11,4.6,-0.38353173630953996,-0.7510432497674304,-0.20261355242631787,0,-0.05912229342647969,1,37,14
194,6533,11,3.7,-1.0390779946413857,-0.7510432497674304,-0.20729077856846512,0,-0.05912229342647969,1,37,7
195,7923,23,4.7,-0.7149583876158474,-0.7510432497674304,-0.2067710867748932,0,-0.05912229342647969,1,78,14
196,751,3,4.3,-1.2201883064575882,-0.7510432497674304,-0.20770653200332265,0,-0.05912229342647969,1,18,7
197,1100,24,4.5,1.19478982833656,-0.7510432497674304,-0.10387211164765366,0,-0.05912229342647969,1,79,12
198,1360,20,4.2,-1.2212321699262696,-0.7510432497674304,-0.20770653200332265,0,-0.05912229342647969,1,69,19
199,1380,6,3.9,0.13839999803110153,-0.7510432497674304,-0.15584129100484534,0,-0.05912229342647969,1,34,9
200,3476,0,4.8,-1.2363681902221482,-0.7510432497674304,-0.20775850118267986,0,-0.05912229342647969,1,9,12
201,1603,29,4.4,-0.4033651422144844,-0.7510432497674304,-0.2067710867748932,0,-0.05912229342647969,1,105,23
202,1425,11,4.0,-1.245241029705939,-0.7510432497674304,-0.2078000765261656,0,-0.05912229342647969,3,50,7
203,1681,29,3.8,-0.5317603488622822,-0.7510432497674304,-0.2067710867748932,0,-0.05912229342647969,1,105,17
204,7964,29,4.8,-1.230626941144401,-0.7510432497674304,-0.20775850118267986,0,-0.05912229342647969,1,105,12
205,2687,25,4.3,-0.3313385628754758,-0.7510432497674304,-0.2067710867748932,0,-0.05912229342647969,1,80,25
206,2849,28,4.5,-1.2071400130990724,-0.7510432497674304,-0.20770653200332265,0,-0.05912229342647969,1,99,16
207,6365,29,4.1,-0.45347058871118595,-0.7510432497674304,-0.1974166344905987,0,-0.05912229342647969,1,105,12
208,3006,23,4.4,0.7480162637409709,-0.7510432497674304,-0.1974166344905987,0,-0.05912229342647969,1,78,2
209,6073,8,4.0,-1.1048413931683065,-0.7468059118017225,-0.20770653200332265,0,-0.05912229342647969,1,37,12
210,4676,20,4.3,-1.0020208415032001,-0.7468059118017225,-0.2067710867748932,0,-0.05912229342647969,1,69,9
211,5634,24,4.3,0.9004203301684381,-0.7468059118017225,-0.10387211164765366,0,-0.05912229342647969,1,79,14
212,5634,24,4.3,0.9004203301684381,-0.7468059118017225,-0.10387211164765366,0,-0.05912229342647969,1,79,14
213,3292,29,4.1,-0.7520155407540329,-0.7468059118017225,-0.2067710867748932,0,-0.05912229342647969,1,105,23
214,591,23,3.6,-1.2301050094100605,-0.7468059118017225,-0.20775850118267986,0,-0.05912229342647969,1,78,14
215,588,29,4.5,-1.0239419743455072,-0.7468059118017225,-0.20770653200332265,0,-0.05912229342647969,1,105,23
216,7495,19,3.9,-1.1852188802567654,-0.7468059118017225,-0.20770653200332265,0,-0.05912229342647969,1,68,12
217,7769,29,4.0,-1.2118373987081381,-0.7468059118017225,-0.20770653200332265,1,0.06438932805399014,1,105,18
218,139,29,3.3,-1.0354244725010013,-0.7468059118017225,-0.2067710867748932,0,-0.05912229342647969,1,105,16
219,5634,24,4.3,0.8998983984340975,-0.7468059118017225,-0.10387211164765366,0,-0.05912229342647969,1,79,14
220,4350,12,4.6,-1.0406437898444076,-0.7468059118017225,-0.20770653200332265,1,1.1195137326610185,1,58,14
221,4280,29,3.9,-1.0333367455636386,-0.7468059118017225,-0.2067710867748932,0,-0.05912229342647969,1,105,7
222,6067,23,4.6,0.46408540025966183,-0.7468059118017225,-0.1974166344905987,0,-0.05912229342647969,1,78,2
223,868,31,4.1,-1.2243637603323134,-0.7468059118017225,-0.20775850118267986,0,-0.05912229342647969,1,110,12
224,928,30,4.1,-1.2066180813647316,-0.7468059118017225,-0.20775850118267986,0,-0.05912229342647969,1,107,18
225,4223,20,4.3,-1.233758531550445,-0.7468059118017225,-0.20770653200332265,0,-0.05912229342647969,1,69,14
226,1059,11,4.3,-1.1893943341314905,-0.7468059118017225,-0.20775850118267986,0,-0.05912229342647969,1,37,6
227,5225,6,3.7,-1.1711267234295681,-0.7468059118017225,-0.20775850118267986,1,0.25058775239640696,1,34,7
228,5632,31,3.1,-1.1706047916952274,-0.7468059118017225,-0.2078000765261656,1,0.002323186606517862,1,110,14
